n_positive,n_negative,tp,tn,fp,fn,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,npv,f1_score,experiment,subset
100,100,51,100,0,49,0.51,0.4134784047743415,0.6057816990761385,1.0,0.963005192523998,1.0,1.0,0.6711409395973155,0.6754966887417219,coverage,atypical_ds6
100,100,74,100,0,26,0.74,0.6462882736813838,0.8159542187301354,1.0,0.963005192523998,1.0,1.0,0.7936507936507936,0.8505747126436781,coverage,atypical_ds12
100,100,82,100,0,18,0.82,0.7333246397578691,0.8829986834574896,1.0,0.963005192523998,1.0,1.0,0.847457627118644,0.9010989010989012,coverage,atypical_ds25
100,100,83,100,0,17,0.83,0.7445181876635703,0.8910652394022684,1.0,0.963005192523998,1.0,1.0,0.8547008547008547,0.907103825136612,coverage,atypical_ds50
100,100,82,100,0,18,0.82,0.7333246397578691,0.8829986834574896,1.0,0.963005192523998,1.0,1.0,0.847457627118644,0.9010989010989012,coverage,atypical_ds75
100,100,49,100,0,51,0.49,0.3942183009238614,0.5865215952256586,1.0,0.963005192523998,1.0,1.0,0.6622516556291391,0.6577181208053692,coverage,dupC_ds6
100,100,78,100,0,22,0.78,0.6892946528499969,0.849988254963442,1.0,0.963005192523998,1.0,1.0,0.819672131147541,0.8764044943820225,coverage,dupC_ds12
100,100,84,100,0,16,0.84,0.7557955544110557,0.8990479765052628,1.0,0.963005192523998,1.0,1.0,0.8620689655172413,0.9130434782608696,coverage,dupC_ds25
100,100,92,100,0,8,0.92,0.8500173312059693,0.9589070305141892,1.0,0.963005192523998,1.0,1.0,0.925925925925926,0.9583333333333334,coverage,dupC_ds50
100,100,94,100,0,6,0.94,0.8752303146877748,0.9722142547333432,1.0,0.963005192523998,1.0,1.0,0.9433962264150944,0.9690721649484536,coverage,dupC_ds75
100,200,49,200,0,51,0.49,0.3942183009238614,0.5865215952256586,1.0,0.9811539940816792,1.0,1.0,0.796812749003984,0.6577181208053692,coverage,dupC_ds6
100,200,78,200,0,22,0.78,0.6892946528499969,0.849988254963442,1.0,0.9811539940816792,1.0,1.0,0.9009009009009008,0.8764044943820225,coverage,dupC_ds12
100,200,84,200,0,16,0.84,0.7557955544110557,0.8990479765052628,1.0,0.9811539940816792,1.0,1.0,0.925925925925926,0.9130434782608696,coverage,dupC_ds25
100,200,92,200,0,8,0.92,0.8500173312059693,0.9589070305141892,1.0,0.9811539940816792,1.0,1.0,0.9615384615384616,0.9583333333333334,coverage,dupC_ds50
100,200,94,200,0,6,0.94,0.8752303146877748,0.9722142547333432,1.0,0.9811539940816792,1.0,1.0,0.970873786407767,0.9690721649484536,coverage,dupC_ds75
